SOURCE;QAM_COD;DCR_SEGMENT_CE_LIB;CLASSE_TAILLE;PORT_EXP_COD;PORT_EXP_LIB;METIER_DCF_5_COD;METIER_DCF_5_LIB;NIV_SECTEUR_COD;SECTEUR_COD;TRIMESTRE;ANNEE;RG_COD;NB_NAVIRES;EFFECTIF_NAVIRE_MOY;NAVP_JAUGE_GT_MOY;NAVP_PUISSANCE_AD_MOY;NB_MAREES;NB_MAREES_INF_95;NB_MAREES_SUP_95;JOURS_DE_MER;JOURS_DE_MER_INF_95;JOURS_DE_MER_SUP_95
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT12;4;2018;LR;2;3;6015.38461538462;316;6.5;6.5;6.5;6.5;6.5;6.5
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT21;1;2018;LR;10;3.56333333333333;7603.64444444444;315.533333333333;27.2083333333333;27.2083333333333;27.2083333333333;28.9583333333333;28.9583333333333;28.9583333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT21;2;2018;LR;10;3.32517857142857;6436.35714285714;315.25;18.0833333333333;18.0833333333333;18.0833333333333;18.3333333333333;18.3333333333333;18.3333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT21;3;2018;LR;10;3.21877551020408;5909.77551020408;316;30.8690476190476;30.8690476190476;30.8690476190476;32.8571428571428;32.8571428571428;32.8571428571428
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT21;4;2018;LR;10;3.36511363636364;6554.78409090909;316;27.1666666666667;27.1666666666667;27.1666666666667;28.4166666666667;28.4166666666667;28.4166666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD11;4;2018;LR;4;3;6294.125;295.75;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;1;2018;LR;11;3.57087301587302;7424.15873015873;314.333333333333;57.2083333333334;57.2083333333334;57.2083333333334;61.5416666666667;61.5416666666667;61.5416666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;1;2018;LR;3;3.15217391304348;5908;316;23.8333333333333;23.8333333333333;23.8333333333333;23.8333333333333;23.8333333333333;23.8333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;2;2018;LR;11;3.45945355191257;7268.5737704918;313.360655737705;75.9;75.9;75.9;79.55;79.55;79.55
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;2;2018;LR;2;3;6212.76595744681;316;28.8333333333333;28.8333333333333;28.8333333333333;29.6666666666667;29.6666666666667;29.6666666666667
